fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.23,0.3,0.21,0.0,0.55,1.17,0.0,0.61,0.63,2.23,0.29,0.0,0.12,0.44,0.14,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,130,0,4.3,0.98,1,sample_data/subj02_timepoint02.mp4
0.24,0.17,0.13,0.0,0.52,1.15,0.0,0.53,0.51,2.0,0.35,0.0,0.12,0.25,0.3,1.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,131,0,4.333,0.98,1,sample_data/subj02_timepoint02.mp4
0.12,0.0,0.08,0.0,0.57,1.37,0.0,0.48,0.43,1.82,0.31,0.0,0.17,0.04,0.5,1.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,132,0,4.367,0.98,1,sample_data/subj02_timepoint02.mp4
0.06,0.0,0.0,0.0,0.62,1.63,0.0,0.43,0.5,1.7,0.18,0.0,0.26,0.0,0.49,1.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,133,0,4.4,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.75,1.73,0.02,0.52,0.5,1.42,0.05,0.08,0.41,0.0,0.52,1.22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,0,4.433,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.78,1.82,0.04,0.53,0.46,1.35,0.0,0.13,0.36,0.0,0.44,0.89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135,0,4.467,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.93,1.67,0.17,0.64,0.36,1.32,0.0,0.21,0.41,0.0,0.41,0.67,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,136,0,4.5,0.98,1,sample_data/subj02_timepoint02.mp4
0.15,0.0,0.0,0.0,0.97,1.88,0.24,0.83,0.39,1.53,0.0,0.34,0.27,0.0,0.21,0.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137,0,4.533,0.98,1,sample_data/subj02_timepoint02.mp4
0.16,0.0,0.0,0.0,1.09,1.78,0.34,1.2,0.48,1.75,0.01,0.67,0.25,0.0,0.04,0.14,0.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138,0,4.567,0.98,1,sample_data/subj02_timepoint02.mp4
0.37,0.09,0.0,0.0,1.15,1.86,0.41,1.39,0.54,1.7,0.01,0.77,0.1,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,139,0,4.6,0.98,1,sample_data/subj02_timepoint02.mp4
0.48,0.43,0.0,0.0,1.18,1.6,0.37,1.45,0.55,1.84,0.01,0.76,0.1,0.0,0.16,0.0,0.54,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140,0,4.633,0.98,1,sample_data/subj02_timepoint02.mp4
0.82,0.83,0.0,0.0,1.18,1.5,0.29,1.45,0.58,1.94,0.0,0.57,0.0,0.0,0.33,0.0,0.57,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141,0,4.667,0.98,1,sample_data/subj02_timepoint02.mp4
0.88,1.07,0.05,0.0,1.06,1.4,0.26,1.48,0.58,2.24,0.03,0.57,0.0,0.0,0.52,0.0,0.65,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0,4.7,0.98,1,sample_data/subj02_timepoint02.mp4
0.95,1.1,0.05,0.0,1.01,1.47,0.32,1.52,0.55,2.36,0.14,0.63,0.0,0.0,0.43,0.0,0.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,0,4.7330000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
0.91,0.96,0.05,0.0,0.93,1.63,0.41,1.55,0.5,2.46,0.14,0.74,0.0,0.0,0.38,0.0,0.74,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,0,4.7669999999999995,0.98,1,sample_data/subj02_timepoint02.mp4
1.07,0.99,0.0,0.07,0.92,1.5,0.32,1.55,0.6,2.62,0.3,1.0,0.08,0.04,0.21,0.0,0.58,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,0,4.8,0.98,1,sample_data/subj02_timepoint02.mp4
1.17,0.9,0.0,0.18,0.88,1.37,0.29,1.58,0.67,2.64,0.58,1.21,0.12,0.04,0.14,0.0,0.31,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,0,4.833,0.98,1,sample_data/subj02_timepoint02.mp4
1.41,0.95,0.0,0.27,0.85,1.17,0.2,1.53,0.76,2.72,0.94,1.35,0.19,0.04,0.02,0.0,0.24,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,0,4.867,0.98,1,sample_data/subj02_timepoint02.mp4
1.38,0.8,0.0,0.2,0.8,1.15,0.15,1.59,0.79,2.78,1.06,1.27,0.11,0.0,0.04,0.0,0.21,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,0,4.9,0.98,1,sample_data/subj02_timepoint02.mp4
1.33,0.82,0.0,0.09,0.77,1.14,0.13,1.6,0.82,2.8,1.04,1.19,0.13,0.0,0.09,0.0,0.18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,0,4.933,0.98,1,sample_data/subj02_timepoint02.mp4
1.26,0.87,0.0,0.0,0.78,1.06,0.14,1.68,0.89,2.68,0.99,1.15,0.07,0.0,0.2,0.0,0.17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,0,4.967,0.98,1,sample_data/subj02_timepoint02.mp4
1.36,1.1,0.0,0.04,0.8,0.85,0.18,1.74,0.9,2.52,1.02,1.2,0.09,0.0,0.24,0.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,0,5.0,0.98,1,sample_data/subj02_timepoint02.mp4
1.34,1.1,0.0,0.04,0.84,0.76,0.14,1.69,0.93,2.61,1.09,1.24,0.05,0.0,0.31,0.0,0.23,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,0,5.033,0.98,1,sample_data/subj02_timepoint02.mp4
1.3,1.05,0.0,0.07,0.8,0.68,0.08,1.58,0.94,2.79,1.29,1.31,0.05,0.03,0.36,0.0,0.36,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,0,5.067,0.98,1,sample_data/subj02_timepoint02.mp4
1.23,0.92,0.0,0.05,0.77,0.77,0.03,1.46,0.99,3.0,1.37,1.34,0.07,0.04,0.45,0.0,0.38,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,0,5.1,0.98,1,sample_data/subj02_timepoint02.mp4
1.32,0.89,0.0,0.22,0.76,0.96,0.02,1.44,1.04,3.07,1.3,1.4,0.06,0.05,0.45,0.0,0.47,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,0,5.132999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
1.32,0.84,0.0,0.31,0.85,1.19,0.02,1.46,1.09,3.12,0.97,1.47,0.05,0.08,0.33,0.0,0.42,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,0,5.167000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
1.24,0.73,0.0,0.5,0.96,1.39,0.02,1.45,1.08,2.9,0.7,1.55,0.05,0.12,0.33,0.0,0.48,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,157,0,5.2,0.98,1,sample_data/subj02_timepoint02.mp4
1.11,0.77,0.0,0.62,1.0,1.27,0.01,1.32,1.11,2.71,0.59,1.52,0.05,0.14,0.36,0.0,0.44,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,158,0,5.233,0.98,1,sample_data/subj02_timepoint02.mp4
0.9,0.61,0.0,0.52,0.98,1.16,0.01,1.29,1.03,2.5,0.72,1.5,0.08,0.16,0.4,0.0,0.58,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,159,0,5.267,0.98,1,sample_data/subj02_timepoint02.mp4
0.71,0.41,0.0,0.52,1.05,1.15,0.0,1.27,1.04,2.45,0.71,1.35,0.03,0.19,0.35,0.0,0.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160,0,5.3,0.98,1,sample_data/subj02_timepoint02.mp4
0.45,0.1,0.0,0.35,1.07,1.19,0.0,1.34,1.03,2.32,0.54,1.3,0.03,0.22,0.26,0.0,0.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161,0,5.332999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.34,0.0,0.0,0.34,1.11,1.31,0.0,1.31,1.06,2.19,0.41,1.11,0.0,0.18,0.3,0.0,0.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162,0,5.367000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.21,0.0,0.0,0.13,1.05,1.53,0.0,1.23,1.03,2.03,0.32,1.01,0.0,0.13,0.28,0.0,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0,5.4,0.98,1,sample_data/subj02_timepoint02.mp4
0.15,0.0,0.0,0.06,1.03,1.63,0.0,1.2,1.01,2.08,0.29,0.9,0.0,0.08,0.33,0.0,0.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164,0,5.433,0.98,1,sample_data/subj02_timepoint02.mp4
0.09,0.0,0.0,0.06,1.03,1.74,0.0,1.24,0.97,2.25,0.12,0.89,0.0,0.09,0.27,0.2,0.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,0,5.4670000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
0.22,0.0,0.0,0.06,1.02,1.73,0.0,1.25,1.0,2.39,0.19,0.81,0.08,0.04,0.22,0.28,1.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166,0,5.5,0.98,1,sample_data/subj02_timepoint02.mp4
0.42,0.0,0.0,0.01,0.95,1.75,0.0,1.31,1.01,2.45,0.31,0.72,0.08,0.04,0.18,0.34,1.83,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,0,5.5329999999999995,0.98,1,sample_data/subj02_timepoint02.mp4
0.39,0.0,0.04,0.0,1.03,2.02,0.0,1.14,0.93,2.31,0.31,0.61,0.08,0.0,0.19,0.32,1.73,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,168,0,5.567,0.98,1,sample_data/subj02_timepoint02.mp4
0.25,0.0,0.04,0.0,1.08,2.25,0.0,1.07,0.85,2.28,0.27,0.64,0.08,0.0,0.13,0.45,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169,0,5.6,0.98,1,sample_data/subj02_timepoint02.mp4
0.05,0.0,0.04,0.0,1.21,2.53,0.0,0.94,0.76,2.16,0.12,0.64,0.21,0.0,0.07,0.58,0.89,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170,0,5.632999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.05,0.0,0.0,0.0,1.09,2.53,0.0,0.89,0.7,2.06,0.12,0.64,0.21,0.0,0.01,0.66,0.61,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171,0,5.667000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.1,0.0,0.0,0.0,1.03,2.35,0.0,0.82,0.64,2.03,0.03,0.6,0.17,0.0,0.0,0.62,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172,0,5.7,0.98,1,sample_data/subj02_timepoint02.mp4
0.07,0.0,0.0,0.0,0.97,2.22,0.0,0.67,0.53,2.04,0.02,0.59,0.05,0.0,0.0,0.71,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,173,0,5.733,0.98,1,sample_data/subj02_timepoint02.mp4
0.07,0.0,0.0,0.0,0.98,1.91,0.0,0.69,0.54,2.06,0.02,0.53,0.05,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,174,0,5.767,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.94,1.77,0.0,0.75,0.51,1.97,0.06,0.51,0.02,0.01,0.0,0.82,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,175,0,5.8,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.92,1.7,0.0,0.77,0.56,1.89,0.09,0.49,0.0,0.02,0.02,0.85,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,176,0,5.832999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.94,1.65,0.0,0.73,0.56,1.87,0.15,0.54,0.02,0.12,0.02,0.91,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,177,0,5.867000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.02,1.68,0.0,0.75,0.6,1.89,0.16,0.63,0.02,0.2,0.02,0.89,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178,0,5.9,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.03,1.62,0.0,0.88,0.58,1.93,0.17,0.7,0.08,0.27,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,179,0,5.933,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.07,1.58,0.0,0.95,0.62,1.96,0.14,0.77,0.11,0.23,0.0,0.81,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0,5.9670000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.06,1.6,0.0,0.94,0.63,1.96,0.12,0.78,0.22,0.18,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0,6.0,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.03,1.79,0.0,0.97,0.64,1.9,0.07,0.73,0.16,0.18,0.0,0.74,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,182,0,6.0329999999999995,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.98,1.83,0.0,0.91,0.58,1.83,0.03,0.61,0.11,0.11,0.0,0.55,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,0,6.067,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.0,1.85,0.0,0.9,0.54,1.8,0.0,0.5,0.0,0.07,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,0,6.1,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.1,1.85,0.0,0.85,0.5,1.73,0.0,0.45,0.0,0.02,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,0,6.132999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.2,2.01,0.0,0.91,0.52,1.66,0.0,0.42,0.0,0.04,0.0,0.48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186,0,6.167000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.26,2.1,0.0,0.87,0.52,1.58,0.0,0.39,0.02,0.05,0.0,0.43,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,0,6.2,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.22,1.82,0.0,0.87,0.59,1.73,0.0,0.48,0.13,0.03,0.04,0.3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188,0,6.233,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.18,1.77,0.0,0.93,0.56,1.73,0.0,0.6,0.14,0.01,0.03,0.16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,0,6.267,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.12,1.73,0.0,1.05,0.56,1.84,0.0,0.69,0.18,0.01,0.06,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,0,6.3,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.16,1.78,0.03,1.14,0.47,1.72,0.0,0.63,0.06,0.02,0.12,0.21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,0,6.332999999999999,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.2,1.7,0.06,1.14,0.48,1.73,0.0,0.58,0.05,0.02,0.2,0.27,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,0,6.367000000000001,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.26,1.54,0.06,1.07,0.49,1.64,0.0,0.54,0.0,0.06,0.28,0.15,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,0,6.4,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.26,1.55,0.09,1.04,0.53,1.58,0.0,0.6,0.0,0.05,0.22,0.2,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194,0,6.433,0.98,1,sample_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.23,1.58,0.18,1.04,0.57,1.48,0.0,0.69,0.0,0.0,0.12,0.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,195,0,6.4670000000000005,0.98,1,sample_data/subj02_timepoint02.mp4
